2026-02-25 23:34:12,433 | INFO | WildPulse Pi Agent Starting...
2026-02-25 23:34:12,434 | INFO | Orchestrator initialized
2026-02-25 23:34:12,434 | INFO | Starting main loop
2026-02-25 23:34:12,434 | INFO | Capturing image...
2026-02-25 23:34:12,434 | INFO | Detected Visayan Spotted Deer (0.44)
2026-02-25 23:34:12,434 | INFO | Confidence below local threshold. Discarding.
2026-02-25 23:34:15,434 | INFO | Capturing image...
2026-02-25 23:34:15,434 | INFO | Detected Visayan Spotted Deer (0.55)
2026-02-25 23:34:15,434 | INFO | Event passed local filter. Ready to queue/upload.
2026-02-25 23:34:20,434 | INFO | Capturing image...
2026-02-25 23:34:20,435 | INFO | Detected Dog (0.63)
2026-02-25 23:34:20,435 | INFO | Event passed local filter. Ready to queue/upload.
2026-02-25 23:34:25,435 | INFO | Capturing image...
2026-02-25 23:34:25,435 | INFO | Detected Dog (0.48)
2026-02-25 23:34:25,435 | INFO | Confidence below local threshold. Discarding.
2026-02-25 23:34:28,435 | INFO | Capturing image...
2026-02-25 23:34:28,436 | INFO | Detected Cat (0.58)
2026-02-25 23:34:28,436 | INFO | Event passed local filter. Ready to queue/upload.
2026-02-25 23:34:33,436 | INFO | Capturing image...
2026-02-25 23:34:33,436 | INFO | Detected Cat (0.72)
2026-02-25 23:34:33,436 | INFO | Event passed local filter. Ready to queue/upload.
2026-02-25 23:34:38,436 | INFO | Capturing image...
2026-02-25 23:34:38,437 | INFO | Detected Dog (0.57)
2026-02-25 23:34:38,437 | INFO | Event passed local filter. Ready to queue/upload.
2026-02-25 23:34:43,437 | INFO | Capturing image...
2026-02-25 23:34:43,438 | INFO | Detected Cat (0.9)
2026-02-25 23:34:43,438 | INFO | Event passed local filter. Ready to queue/upload.
2026-02-25 23:34:48,438 | INFO | Capturing image...
2026-02-25 23:34:48,438 | INFO | Detected Visayan Spotted Deer (0.62)
2026-02-25 23:34:48,438 | INFO | Event passed local filter. Ready to queue/upload.
2026-02-25 23:34:53,438 | INFO | Capturing image...
2026-02-25 23:34:53,440 | INFO | Detected Dog (0.69)
2026-02-25 23:34:53,440 | INFO | Event passed local filter. Ready to queue/upload.
2026-02-25 23:37:33,589 | INFO | WildPulse Pi Agent Starting...
2026-02-25 23:41:09,561 | INFO | WildPulse Pi Agent Starting...
2026-02-25 23:42:00,275 | INFO | WildPulse Pi Agent Starting...
2026-02-25 23:42:00,300 | INFO | Motion sensor initialized on GPIO 17
2026-02-25 23:42:00,300 | INFO | Orchestrator initialized
2026-02-25 23:42:00,300 | INFO | System armed. Waiting for motion...
2026-02-25 23:42:00,300 | INFO | Waiting for motion...
2026-02-25 23:42:12,714 | INFO | Motion detected!
2026-02-25 23:42:14,719 | INFO | Image saved: data/images/capture_20260225_154212.jpg
2026-02-25 23:42:14,719 | INFO | Detected Dog (0.81)
2026-02-25 23:42:14,719 | INFO | Event passed local filter. Ready for queue/upload.
2026-02-25 23:42:19,719 | INFO | Waiting for motion...
2026-02-25 23:43:12,099 | INFO | Motion detected!
2026-02-25 23:43:13,437 | INFO | Image saved: data/images/capture_20260225_154312.jpg
2026-02-25 23:43:13,437 | INFO | Detected Dog (0.45)
2026-02-25 23:43:13,437 | INFO | Confidence below threshold. Discarding.
2026-02-25 23:43:13,437 | INFO | Waiting for motion...
2026-02-25 23:48:48,051 | INFO | WildPulse Pi Agent Starting...
2026-02-25 23:48:48,062 | INFO | Motion sensor initialized on GPIO 17
2026-02-25 23:48:48,077 | INFO | Orchestrator initialized
2026-02-25 23:48:48,077 | INFO | System armed. Waiting for motion...
2026-02-25 23:48:48,077 | INFO | Waiting for motion...
2026-02-25 23:50:13,880 | INFO | Motion detected!
2026-02-25 23:50:15,204 | INFO | Image saved: data/images/capture_20260225_155013.jpg
2026-02-25 23:50:15,205 | INFO | Detected Dog (0.77)
2026-02-25 23:50:15,217 | INFO | Event added to local queue.
2026-02-25 23:50:20,217 | INFO | Waiting for motion...
2026-02-25 23:52:00,720 | INFO | Motion detected!
2026-02-25 23:52:02,042 | INFO | Image saved: data/images/capture_20260225_155200.jpg
2026-02-25 23:52:02,044 | INFO | Detected Visayan Spotted Deer (0.76)
2026-02-25 23:52:02,056 | INFO | Event added to local queue.
2026-02-25 23:52:07,057 | INFO | Waiting for motion...
2026-02-25 23:53:13,819 | INFO | Motion detected!
2026-02-25 23:53:15,146 | INFO | Image saved: data/images/capture_20260225_155313.jpg
2026-02-25 23:53:15,146 | INFO | Detected Dog (0.53)
2026-02-25 23:53:15,160 | INFO | Event added to local queue.
2026-02-25 23:53:20,160 | INFO | Waiting for motion...
2026-02-25 23:53:21,228 | INFO | Motion detected!
2026-02-25 23:53:22,525 | INFO | Image saved: data/images/capture_20260225_155321.jpg
2026-02-25 23:53:22,526 | INFO | Detected Cat (0.86)
2026-02-25 23:53:22,535 | INFO | Event added to local queue.
2026-02-25 23:53:27,536 | INFO | Waiting for motion...
